,vpn_number,trial,condition,correct_key,key,rt,iscorrect,accuracy,error_rate
121,7,121,pictures,l,l,0.344727993011,True,0.9933333333333333,0.00666666666666671
122,7,122,pictures,l,l,0.424700021744,True,0.9933333333333333,0.00666666666666671
123,7,123,words,s,s,0.505794048309,True,0.9933333333333333,0.00666666666666671
124,7,124,words,s,s,0.401888132095,True,0.9933333333333333,0.00666666666666671
125,7,125,pictures,l,l,0.518298149109,True,0.9933333333333333,0.00666666666666671
126,7,126,pictures,l,l,0.45869588851899995,True,0.9933333333333333,0.00666666666666671
127,7,127,pictures,l,l,0.481729030609,True,0.9933333333333333,0.00666666666666671
128,7,128,pictures,l,l,0.383910894394,True,0.9933333333333333,0.00666666666666671
129,7,129,words,s,s,0.396508932114,True,0.9933333333333333,0.00666666666666671
130,7,130,words,s,s,0.311594009399,True,0.9933333333333333,0.00666666666666671
131,7,131,words,s,s,0.40372776985200004,True,0.9933333333333333,0.00666666666666671
132,7,132,pictures,l,l,0.513235807419,True,0.9933333333333333,0.00666666666666671
133,7,133,pictures,l,l,0.36714482307400004,True,0.9933333333333333,0.00666666666666671
134,7,134,words,s,s,0.53848695755,True,0.9933333333333333,0.00666666666666671
135,7,135,words,s,s,0.337572097778,True,0.9933333333333333,0.00666666666666671
136,7,136,words,s,s,0.37216806411700004,True,0.9933333333333333,0.00666666666666671
137,7,137,pictures,l,l,0.464895963669,True,0.9933333333333333,0.00666666666666671
138,7,138,words,s,s,0.49147391319300004,True,0.9933333333333333,0.00666666666666671
139,7,139,pictures,l,l,0.393927097321,True,0.9933333333333333,0.00666666666666671
140,7,140,pictures,l,l,0.435564994812,True,0.9933333333333333,0.00666666666666671
141,7,141,words,s,s,0.42611598968500003,True,0.9933333333333333,0.00666666666666671
142,7,142,words,s,s,0.634285926819,True,0.9933333333333333,0.00666666666666671
143,7,143,words,s,s,0.36776494979900004,True,0.9933333333333333,0.00666666666666671
144,7,144,pictures,l,l,0.38268494606,True,0.9933333333333333,0.00666666666666671
145,7,145,words,s,s,0.43238615989699997,True,0.9933333333333333,0.00666666666666671
146,7,146,pictures,l,l,0.393573999405,True,0.9933333333333333,0.00666666666666671
147,7,147,pictures,l,l,0.409622192383,True,0.9933333333333333,0.00666666666666671
148,7,148,words,s,s,0.364207983017,True,0.9933333333333333,0.00666666666666671
149,7,149,words,s,s,0.34117007255599996,True,0.9933333333333333,0.00666666666666671
0,8,0,words,s,s,3.20594716072,True,0.9933333333333333,0.00666666666666671
1,8,1,words,s,s,1.55191111565,True,0.9933333333333333,0.00666666666666671
2,8,2,pictures,l,l,0.8923480510709999,True,0.9933333333333333,0.00666666666666671
3,8,3,words,s,s,0.717571020126,True,0.9933333333333333,0.00666666666666671
4,8,4,words,s,s,0.5726809501650001,True,0.9933333333333333,0.00666666666666671
5,8,5,pictures,l,l,0.63271021843,True,0.9933333333333333,0.00666666666666671
6,8,6,words,s,s,0.5750601291659999,True,0.9933333333333333,0.00666666666666671
7,8,7,pictures,l,l,0.639923810959,True,0.9933333333333333,0.00666666666666671
8,8,8,pictures,l,l,0.6887190341949999,True,0.9933333333333333,0.00666666666666671
9,8,9,pictures,l,l,0.600387096405,True,0.9933333333333333,0.00666666666666671
10,8,10,pictures,l,l,0.565170049667,True,0.9933333333333333,0.00666666666666671
11,8,11,words,s,s,0.548434972763,True,0.9933333333333333,0.00666666666666671
12,8,12,words,s,s,0.500547885895,True,0.9933333333333333,0.00666666666666671
13,8,13,words,s,s,0.511644124985,True,0.9933333333333333,0.00666666666666671
14,8,14,pictures,l,l,0.548448085785,True,0.9933333333333333,0.00666666666666671
15,8,15,pictures,l,l,0.49956893920900003,True,0.9933333333333333,0.00666666666666671
16,8,16,words,s,s,0.56356883049,True,0.9933333333333333,0.00666666666666671
17,8,17,pictures,l,l,0.522395133972,True,0.9933333333333333,0.00666666666666671
18,8,18,pictures,l,l,0.5737550258640001,True,0.9933333333333333,0.00666666666666671
19,8,19,pictures,l,l,0.596988916397,True,0.9933333333333333,0.00666666666666671
20,8,20,words,s,s,0.5383329391480001,True,0.9933333333333333,0.00666666666666671
21,8,21,pictures,l,l,0.545340061188,True,0.9933333333333333,0.00666666666666671
22,8,22,words,s,s,0.7209968566889999,True,0.9933333333333333,0.00666666666666671
23,8,23,pictures,l,l,0.49617481231700006,True,0.9933333333333333,0.00666666666666671
24,8,24,words,s,s,0.7038140296940001,True,0.9933333333333333,0.00666666666666671
25,8,25,words,s,s,0.521164894104,True,0.9933333333333333,0.00666666666666671
26,8,26,words,s,s,0.515912055969,True,0.9933333333333333,0.00666666666666671
27,8,27,pictures,l,l,0.502750873566,True,0.9933333333333333,0.00666666666666671
28,8,28,pictures,l,l,0.552870035172,True,0.9933333333333333,0.00666666666666671
29,8,29,words,s,s,0.621308088303,True,0.9933333333333333,0.00666666666666671
30,8,30,pictures,l,l,0.48339414596600006,True,0.9933333333333333,0.00666666666666671
31,8,31,words,s,s,0.49160385131800005,True,0.9933333333333333,0.00666666666666671
32,8,32,words,s,s,0.453606128693,True,0.9933333333333333,0.00666666666666671
33,8,33,words,s,s,0.432420015335,True,0.9933333333333333,0.00666666666666671
34,8,34,words,s,s,0.469609975815,True,0.9933333333333333,0.00666666666666671
35,8,35,words,s,s,0.481142997742,True,0.9933333333333333,0.00666666666666671
36,8,36,pictures,l,l,0.446661949158,True,0.9933333333333333,0.00666666666666671
37,8,37,words,s,s,0.85835981369,True,0.9933333333333333,0.00666666666666671
38,8,38,pictures,l,l,0.544121980667,True,0.9933333333333333,0.00666666666666671
39,8,39,pictures,l,l,0.5466768741610001,True,0.9933333333333333,0.00666666666666671
40,8,40,pictures,l,l,0.521828889847,True,0.9933333333333333,0.00666666666666671
41,8,41,words,s,s,0.501861810684,True,0.9933333333333333,0.00666666666666671
42,8,42,pictures,l,l,0.62047290802,True,0.9933333333333333,0.00666666666666671
43,8,43,words,s,s,0.560416936874,True,0.9933333333333333,0.00666666666666671
44,8,44,words,s,s,0.522531986237,True,0.9933333333333333,0.00666666666666671
45,8,45,words,s,s,0.508378982544,True,0.9933333333333333,0.00666666666666671
46,8,46,words,s,s,0.481603145599,True,0.9933333333333333,0.00666666666666671
